id,zip,lat,lng,population,timezone,city,state,type
258,01347,42.577835,-72.46379,114,America/New_York,Millers Falls,,
259,01349,42.577835,-72.46379,753,America/New_York,Millers Falls,MA,CDP
260,01350,42.577835,-72.46379,115,America/New_York,Millers Falls,,
261,01351,42.577835,-72.46379,2644,America/New_York,Millers Falls,,
262,01354,42.577835,-72.46379,1831,America/New_York,Millers Falls,,
263,01355,42.577835,-72.46379,963,America/New_York,Millers Falls,,
264,01360,42.577835,-72.46379,2875,America/New_York,Millers Falls,MA,CDP
265,01364,42.577835,-72.46379,7668,America/New_York,Millers Falls,MA,CDP
266,01366,42.577835,-72.46379,1173,America/New_York,Millers Falls,MA,CDP
267,01367,42.577835,-72.46379,574,America/New_York,Millers Falls,,
268,01368,42.577835,-72.46379,1497,America/New_York,Millers Falls,,
269,01370,42.577835,-72.46379,3641,America/New_York,Millers Falls,MA,CDP
270,01373,42.577835,-72.46379,4784,America/New_York,Millers Falls,MA,CDP
271,01375,42.577835,-72.46379,3653,America/New_York,Millers Falls,,
272,01376,42.577835,-72.46379,5032,America/New_York,Millers Falls,MA,CDP
273,01378,42.577835,-72.46379,861,America/New_York,Millers Falls,,
274,01379,42.577835,-72.46379,742,America/New_York,Millers Falls,,
275,01380,42.577835,-72.46379,32,America/New_York,Millers Falls,,
276,01420,42.59448,-71.77341,41677,America/New_York,Devens,MA,city
277,01430,42.59448,-71.77341,6450,America/New_York,Devens,MA,CDP
278,01431,42.59448,-71.77341,3188,America/New_York,Devens,,
279,01432,42.59448,-71.77341,8124,America/New_York,Devens,MA,CDP
280,01434,42.59448,-71.77341,1889,America/New_York,Devens,MA,CDP
281,01436,42.59448,-71.77341,3720,America/New_York,Devens,MA,CDP
282,01438,42.59448,-71.77341,192,America/New_York,Devens,,
283,01440,42.59448,-71.77341,21298,America/New_York,Devens,MA,city
284,01450,42.59448,-71.77341,11228,America/New_York,Devens,MA,CDP
285,01451,42.59448,-71.77341,5359,America/New_York,Devens,,
286,01452,42.59448,-71.77341,4339,America/New_York,Devens,,
287,01453,42.59448,-71.77341,43635,America/New_York,Devens,MA,city
288,01460,42.59448,-71.77341,10150,America/New_York,Devens,MA,CDP
289,01462,42.59448,-71.77341,11822,America/New_York,Devens,MA,CDP
290,01463,42.59448,-71.77341,11693,America/New_York,Devens,MA,CDP
291,01464,42.59448,-71.77341,7017,America/New_York,Devens,MA,CDP
292,01468,42.59448,-71.77341,4157,America/New_York,Devens,MA,CDP
293,01469,42.59448,-71.77341,6803,America/New_York,Devens,MA,CDP
294,01473,42.59448,-71.77341,8289,America/New_York,Devens,,
295,01474,42.59448,-71.77341,2249,America/New_York,Devens,,
296,01475,42.59448,-71.77341,10194,America/New_York,Devens,MA,CDP
297,01501,42.221317,-71.8669,16780,America/New_York,South Lancaster,,
298,01503,42.221317,-71.8669,3311,America/New_York,South Lancaster,,
299,01504,42.221317,-71.8669,9211,America/New_York,South Lancaster,,
300,01505,42.221317,-71.8669,4896,America/New_York,South Lancaster,,
301,01506,42.221317,-71.8669,3442,America/New_York,South Lancaster,MA,CDP
302,01507,42.221317,-71.8669,13359,America/New_York,South Lancaster,,
303,01510,42.221317,-71.8669,15430,America/New_York,South Lancaster,MA,CDP
304,01515,42.221317,-71.8669,2120,America/New_York,South Lancaster,MA,CDP
305,01516,42.221317,-71.8669,9287,America/New_York,South Lancaster,MA,CDP
306,01518,42.221317,-71.8669,2835,America/New_York,South Lancaster,MA,CDP
307,01519,42.221317,-71.8669,7738,America/New_York,South Lancaster,,
308,01520,42.221317,-71.8669,16864,America/New_York,South Lancaster,,
309,01521,42.221317,-71.8669,2576,America/New_York,South Lancaster,MA,CDP
310,01522,42.221317,-71.8669,3021,America/New_York,South Lancaster,,
311,01523,42.221317,-71.8669,8470,America/New_York,South Lancaster,MA,CDP
312,01524,42.221317,-71.8669,6110,America/New_York,South Lancaster,,
313,01525,42.221317,-71.8669,0,America/New_York,South Lancaster,,
314,01527,42.221317,-71.8669,13899,America/New_York,South Lancaster,,
315,01529,42.221317,-71.8669,3156,America/New_York,South Lancaster,,
316,01531,42.221317,-71.8669,925,America/New_York,South Lancaster,,
317,01532,42.221317,-71.8669,15694,America/New_York,South Lancaster,MA,CDP
318,01534,42.221317,-71.8669,6097,America/New_York,South Lancaster,MA,CDP
319,01535,42.221317,-71.8669,4739,America/New_York,South Lancaster,MA,CDP
320,01536,42.221317,-71.8669,7119,America/New_York,South Lancaster,,
321,01537,42.221317,-71.8669,1821,America/New_York,South Lancaster,,
322,01540,42.221317,-71.8669,11521,America/New_York,South Lancaster,MA,CDP
323,01541,42.221317,-71.8669,3500,America/New_York,South Lancaster,,
324,01542,42.221317,-71.8669,2572,America/New_York,South Lancaster,,
325,01543,42.221317,-71.8669,9202,America/New_York,South Lancaster,MA,CDP
326,01545,42.221317,-71.8669,38440,America/New_York,South Lancaster,MA,city
327,01550,42.221317,-71.8669,17806,America/New_York,South Lancaster,MA,city
328,01560,42.221317,-71.8669,4914,America/New_York,South Lancaster,,
329,01561,42.221317,-71.8669,0,America/New_York,South Lancaster,MA,CDP
330,01562,42.221317,-71.8669,11961,America/New_York,South Lancaster,MA,CDP
331,01564,42.221317,-71.8669,8111,America/New_York,South Lancaster,,
332,01566,42.221317,-71.8669,7054,America/New_York,South Lancaster,MA,CDP
333,01568,42.221317,-71.8669,7926,America/New_York,South Lancaster,MA,CDP
334,01569,42.221317,-71.8669,14127,America/New_York,South Lancaster,,
335,01570,42.221317,-71.8669,17674,America/New_York,South Lancaster,MA,CDP
336,01571,42.221317,-71.8669,11886,America/New_York,South Lancaster,,
337,01581,42.221317,-71.8669,21591,America/New_York,South Lancaster,MA,CDP
338,01583,42.221317,-71.8669,7516,America/New_York,South Lancaster,MA,city
339,01585,42.221317,-71.8669,4942,America/New_York,South Lancaster,MA,CDP
340,01588,42.221317,-71.8669,10357,America/New_York,South Lancaster,MA,CDP
